n_train,iterations,neurons,layers,activation IC,activation Branch,activation Trunk,merge_operation,output_merge_operation,decay,final_loss_train,final_loss_test,l2_relative_error,train_time_s,train_time_h,directory
8000,100000,200,5,relu,relu,relu,mul,mul,cosine,32097.037,146315.86,0.15115951,6480.62,1.8,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/annular_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_lin_V2/model_00/model-100000.pt
8000,100000,200,5,relu,swish,relu,mul,mul,cosine,52491.496,81177.03,0.120671995,6453.57,1.79,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/annular_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_lin_V2/model_01/model-100000.pt
8000,100000,200,5,swish,relu,relu,mul,mul,cosine,58893.543,1402763.9,0.29220533,6454.99,1.79,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/annular_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_lin_V2/model_02/model-100000.pt
8000,100000,200,5,swish,swish,relu,mul,mul,cosine,132295.16,40168196.0,0.29334956,6500.5,1.81,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/annular_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_lin_V2/model_03/model-100000.pt
8000,100000,100,5,relu,relu,relu,mul,mul,cosine,39976.83,48930.035,0.106197745,5428.67,1.51,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/annular_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_lin_V2/model_04/model-100000.pt
8000,100000,100,5,relu,swish,relu,mul,mul,cosine,92189.0,96535.31,0.152587,5420.4,1.51,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/annular_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_lin_V2/model_05/model-100000.pt
8000,100000,100,5,swish,relu,relu,mul,mul,cosine,54093.086,70302.664,0.123984694,5410.36,1.5,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/annular_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_lin_V2/model_06/model-100000.pt
8000,100000,100,5,swish,swish,relu,mul,mul,cosine,44730.863,54845.69,0.113826826,5396.78,1.5,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/annular_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_lin_V2/model_07/model-100000.pt
8000,100000,300,5,relu,relu,relu,mul,mul,cosine,39225.484,1482824.1,0.32514277,7612.97,2.11,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/annular_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_lin_V2/model_08/model-100000.pt
8000,100000,300,5,relu,swish,relu,mul,mul,cosine,39499.434,4250739.0,0.41952962,7614.01,2.12,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/annular_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_lin_V2/model_09/model-100000.pt
8000,100000,300,5,swish,relu,relu,mul,mul,cosine,159832.9,1444215.1,0.45137712,7607.83,2.11,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/annular_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_lin_V2/model_10/model-100000.pt
8000,100000,300,5,swish,swish,relu,mul,mul,cosine,118993.34,157632530.0,0.51797634,7598.75,2.11,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/annular_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_lin_V2/model_11/model-100000.pt
