n_train,iterations,neurons,layers,activation IC,activation Branch,activation Trunk,merge_operation,output_merge_operation,decay,final_loss_train,final_loss_test,l2_relative_error,train_time_s,train_time_h,directory
8000,100000,200,5,relu,relu,relu,mul,mul,cosine,98495.65,184138.92,0.15938073,6480.01,1.8,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/annular_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_nl_V2/model_00/model-100000.pt
8000,100000,200,5,relu,swish,relu,mul,mul,cosine,54195.27,1296123.1,0.35488218,6453.63,1.79,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/annular_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_nl_V2/model_01/model-100000.pt
8000,100000,200,5,swish,relu,relu,mul,mul,cosine,45953.93,64083.066,0.104135685,6455.19,1.79,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/annular_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_nl_V2/model_02/model-100000.pt
8000,100000,200,5,swish,swish,relu,mul,mul,cosine,74757.35,91141.52,0.124361545,6500.93,1.81,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/annular_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_nl_V2/model_03/model-100000.pt
8000,100000,100,5,relu,relu,relu,mul,mul,cosine,92799.15,106726.11,0.13499859,5429.17,1.51,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/annular_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_nl_V2/model_04/model-100000.pt
8000,100000,100,5,relu,swish,relu,mul,mul,cosine,135441.28,143755.25,0.15923461,5420.28,1.51,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/annular_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_nl_V2/model_05/model-100000.pt
8000,100000,100,5,swish,relu,relu,mul,mul,cosine,89649.3,753900.8,0.26148853,5408.97,1.5,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/annular_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_nl_V2/model_06/model-100000.pt
8000,100000,100,5,swish,swish,relu,mul,mul,cosine,80404.96,96607.1,0.1280333,5397.2,1.5,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/annular_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_nl_V2/model_07/model-100000.pt
8000,100000,300,5,relu,relu,relu,mul,mul,cosine,50236.402,68951.86,0.10823262,7611.96,2.11,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/annular_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_nl_V2/model_08/model-100000.pt
8000,100000,300,5,relu,swish,relu,mul,mul,cosine,81507.6,861248.06,0.3093366,7613.84,2.11,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/annular_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_nl_V2/model_09/model-100000.pt
8000,100000,300,5,swish,relu,relu,mul,mul,cosine,51040.43,64136.668,0.104383476,7609.23,2.11,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/annular_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_nl_V2/model_10/model-100000.pt
8000,100000,300,5,swish,swish,relu,mul,mul,cosine,359820.25,401082.25,0.26626554,7595.97,2.11,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/annular_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_nl_V2/model_11/model-100000.pt
