n_train,iterations,neurons,layers,activation IC,activation Branch,activation Trunk,merge_operation,output_merge_operation,decay,final_loss_train,final_loss_test,l2_relative_error,train_time_s,train_time_h,directory
8000,100000,200,5,relu,relu,relu,mul,mul,cosine,103643.68,116677.5,0.12884307,6128.91,1.7,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/gauss_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_lin_V2/model_00/model-100000.pt
8000,100000,200,5,relu,swish,relu,mul,mul,cosine,139882.75,137450.98,0.14153603,6536.46,1.82,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/gauss_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_lin_V2/model_01/model-100000.pt
8000,100000,200,5,swish,relu,relu,mul,mul,cosine,78118.06,156116.06,0.12760697,6789.87,1.89,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/gauss_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_lin_V2/model_02/model-100000.pt
8000,100000,200,5,swish,swish,relu,mul,mul,cosine,74302.805,1286442.9,0.32669723,6554.73,1.82,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/gauss_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_lin_V2/model_03/model-100000.pt
8000,100000,100,5,relu,relu,relu,mul,mul,cosine,177318.81,280874.9,0.17550078,5906.01,1.64,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/gauss_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_lin_V2/model_04/model-100000.pt
8000,100000,100,5,relu,swish,relu,mul,mul,cosine,138056.7,139498.2,0.14244205,5423.18,1.51,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/gauss_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_lin_V2/model_05/model-100000.pt
8000,100000,100,5,swish,relu,relu,mul,mul,cosine,118875.7,140250.56,0.13491513,5449.1,1.51,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/gauss_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_lin_V2/model_06/model-100000.pt
8000,100000,100,5,swish,swish,relu,mul,mul,cosine,156437.38,1495199.6,0.2943294,5464.13,1.52,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/gauss_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_lin_V2/model_07/model-100000.pt
8000,100000,300,5,relu,relu,relu,mul,mul,cosine,127793.09,13619311.0,0.9412418,7831.04,2.18,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/gauss_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_lin_V2/model_08/model-100000.pt
8000,100000,300,5,relu,swish,relu,mul,mul,cosine,142170.88,1208180.9,0.30114374,7500.57,2.08,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/gauss_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_lin_V2/model_09/model-100000.pt
8000,100000,300,5,swish,relu,relu,mul,mul,cosine,77499.125,85249.766,0.11032003,7477.66,2.08,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/gauss_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_lin_V2/model_10/model-100000.pt
8000,100000,300,5,swish,swish,relu,mul,mul,cosine,682574.7,44075647000.0,2.7345488,7514.15,2.09,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/gauss_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_lin_V2/model_11/model-100000.pt
