n_train,iterations,neurons,layers,activation IC,activation Branch,activation Trunk,merge_operation,output_merge_operation,decay,final_loss_train,final_loss_test,l2_relative_error,train_time_s,train_time_h,directory
8000,100000,200,5,relu,relu,relu,mul,mul,cosine,120411.7,148553.69,0.118690066,6649.98,1.85,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/gauss_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_nl_V2/model_00/model-100000.pt
8000,100000,200,5,relu,swish,relu,mul,mul,cosine,178738.62,208360.58,0.1373329,6785.59,1.88,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/gauss_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_nl_V2/model_01/model-100000.pt
8000,100000,200,5,swish,relu,relu,mul,mul,cosine,155845.38,157900.14,0.12440979,6574.52,1.83,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/gauss_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_nl_V2/model_02/model-100000.pt
8000,100000,200,5,swish,swish,relu,mul,mul,cosine,356478.78,3415639.5,0.32327643,6944.77,1.93,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/gauss_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_nl_V2/model_03/model-100000.pt
8000,100000,100,5,relu,relu,relu,mul,mul,cosine,282413.06,1671609.6,0.23771144,5381.75,1.49,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/gauss_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_nl_V2/model_04/model-100000.pt
8000,100000,100,5,relu,swish,relu,mul,mul,cosine,195645.8,195147.19,0.13877524,5463.41,1.52,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/gauss_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_nl_V2/model_05/model-100000.pt
8000,100000,100,5,swish,relu,relu,mul,mul,cosine,80213.625,93629.16,0.093991496,5449.36,1.51,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/gauss_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_nl_V2/model_06/model-100000.pt
8000,100000,100,5,swish,swish,relu,mul,mul,cosine,142407.61,145530.88,0.11911331,5939.87,1.65,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/gauss_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_nl_V2/model_07/model-100000.pt
8000,100000,300,5,relu,relu,relu,mul,mul,cosine,81606.76,104339.43,0.10027194,7507.17,2.09,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/gauss_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_nl_V2/model_08/model-100000.pt
8000,100000,300,5,relu,swish,relu,mul,mul,cosine,198600.38,1052775.8,0.2585617,7486.55,2.08,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/gauss_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_nl_V2/model_09/model-100000.pt
8000,100000,300,5,swish,relu,relu,mul,mul,cosine,88541.57,122281.13,0.105296746,7488.88,2.08,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/gauss_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_nl_V2/model_10/model-100000.pt
8000,100000,300,5,swish,swish,relu,mul,mul,cosine,751052.9,95137080.0,0.42322296,6942.6,1.93,/home/users/jbi/Bachelorarbeit/Codebase/Netze/MIONet/gauss_P_v_IC_nl_models/Parameterstudien_vvar/P_v_IC_nl_V2/model_11/model-100000.pt
